model_id,platform_id,model_family,model_version,model_variants,model_architecture,parameters_count,context_window_size,createdAt,updatedAt,model_type,token_limit,model_size,model_size_unit
model_1742673838811_310,platform_1742531573935_171,DistilBERT,Base,Uncased,Transformer,66M,512,2025-03-22T20:03:58.811Z,2025-03-22T20:03:58.811Z,LLM,512,66,M
model_1742673838811_115,platform_1742531573935_171,T5,Small,Cased,Transformer,60M,512,2025-03-22T20:03:58.811Z,2025-03-22T20:03:58.811Z,LLM,512,60,M
model_1742673840811_196,platform_1742531573935_556,H2O.ai,1,,,,,2025-03-22T20:04:00.811Z,2025-03-22T20:37:57.006Z,AI Model,,,
model_1742673843001_743,platform_1742531573936_951,GPT for Sheets and Docs,1,,Transformer,,,2025-03-22T20:04:03.001Z,2025-03-22T20:37:58.889Z,LLM,,,
model_1742673845056_118,platform_1742531573936_387,DeepSeek-R1,1,,Transformer,10B,8K,2025-03-22T20:04:05.056Z,2025-03-22T20:04:05.056Z,AI Model,4096,10,B
model_1742673847251_660,platform_1742531573937_377,DeepL Translator,1,,Transformer,,,2025-03-22T20:04:07.251Z,2025-03-22T20:38:01.609Z,Translation Model,,,
model_1742673849169_753,platform_1742531573938_759,CodiumAI,1,,,,,2025-03-22T20:04:09.169Z,2025-03-22T20:38:03.538Z,AI Model,,,
model_1742673853838_546,platform_1742531573938_248,Claude,1,Base,Transformer,Unknown,Unknown,2025-03-22T20:04:13.838Z,2025-03-22T20:04:13.838Z,LLM,Unknown,Unknown,B
model_1742673853838_532,platform_1742531573938_248,Claude,2,Chat,Transformer,Unknown,Unknown,2025-03-22T20:04:13.838Z,2025-03-22T20:04:13.838Z,LLM,Unknown,Unknown,B
model_1742673853838_711,platform_1742531573938_248,Claude,2,Instruct,Transformer,Unknown,Unknown,2025-03-22T20:04:13.838Z,2025-03-22T20:04:13.838Z,LLM,Unknown,Unknown,B
model_1742673853838_705,platform_1742531573938_248,Claude,3,Base,Transformer,Unknown,Unknown,2025-03-22T20:04:13.838Z,2025-03-22T20:04:13.838Z,LLM,Unknown,Unknown,B
model_1742673853838_736,platform_1742531573938_248,Claude,3,Chat,Transformer,Unknown,Unknown,2025-03-22T20:04:13.838Z,2025-03-22T20:04:13.838Z,LLM,Unknown,Unknown,B
model_1742673855773_267,platform_1742531573939_397,C3.ai,1,,,,,2025-03-22T20:04:15.773Z,2025-03-22T20:38:10.681Z,AI Model,,,
model_1742673857859_545,platform_1742531573939_151,Ayasdi (SymphonyAI),1,,,,,2025-03-22T20:04:17.859Z,2025-03-22T20:38:13.012Z,AI Model,,,
model_1742673863126_338,platform_1742531573940_819,Claude,1,,Transformer,52B,100K,2025-03-22T20:04:23.126Z,2025-03-22T20:04:23.126Z,LLM,4096,52,B
model_1742673863126_723,platform_1742531573940_819,Claude,2,Instruct,Transformer,52B,200K,2025-03-22T20:04:23.126Z,2025-03-22T20:04:23.126Z,LLM,8192,52,B
model_1742673863126_502,platform_1742531573940_819,Claude,2,Chat,Transformer,52B,200K,2025-03-22T20:04:23.126Z,2025-03-22T20:04:23.126Z,LLM,8192,52,B
model_1742673863126_170,platform_1742531573940_819,Claude,3,Base,Transformer,70B,300K,2025-03-22T20:04:23.126Z,2025-03-22T20:04:23.126Z,LLM,16384,70,B
model_1742673863126_157,platform_1742531573940_819,Claude,3,Vision,Transformer,70B,300K,2025-03-22T20:04:23.126Z,2025-03-22T20:04:23.126Z,LLM,16384,70,B
model_1742673867336_45,platform_1742531573940_708,Amazon Comprehend,2023,,Transformer,,,2025-03-22T20:04:27.336Z,2025-03-22T20:38:20.534Z,NLP,,,
model_1742673867336_879,platform_1742531573940_708,Amazon Lex,2023,,,,,2025-03-22T20:04:27.336Z,2025-03-22T20:38:22.596Z,Conversational AI,,,
model_1742673867336_995,platform_1742531573940_708,Amazon Polly,2023,,,,,2025-03-22T20:04:27.336Z,2025-03-22T20:38:24.572Z,Text-to-Speech,,,
model_1742673867336_641,platform_1742531573940_708,Amazon Rekognition,2023,,,,,2025-03-22T20:04:27.336Z,2025-03-22T20:38:26.462Z,Image Analysis,,,
model_1742673867336_469,platform_1742531573940_708,Amazon Transcribe,2023,,,,,2025-03-22T20:04:27.336Z,2025-03-22T20:38:28.262Z,Speech Recognition,,,
model_1742673869609_229,platform_1742531573941_869,Amazon CodeWhisperer,1,,Transformer,,,2025-03-22T20:04:29.609Z,2025-03-22T20:38:30.317Z,Code Generation,,,
model_1742673871760_491,platform_1742531573941_489,Alibi (by Seldon),1,,,,,2025-03-22T20:04:31.760Z,2025-03-22T20:38:32.425Z,AI Model,,,
model_1742673874066_592,platform_1742531573942_425,MixMod,1,,,,,2025-03-22T20:04:34.066Z,2025-03-22T20:38:34.327Z,AI Model,,,
model_1742673876022_330,platform_1742531573943_789,Accenture Applied Intelligence,1,,,,,2025-03-22T20:04:36.022Z,2025-03-22T20:38:36.145Z,AI Model,,,
model_1742673878066_396,platform_1742531573943_937,AdCreative.ai,1,,Transformer,,,2025-03-22T20:04:38.066Z,2025-03-22T20:38:38.203Z,AI Model,,,
model_1742673880076_557,platform_1742531573944_855,Adobe Firefly,1,,Transformer,,,2025-03-22T20:04:40.076Z,2025-03-22T20:38:40.394Z,Image Generation,,,
model_1742673884193_12,platform_1742531573945_655,Gemini,1,,Transformer,175B,32K,2025-03-22T20:04:44.193Z,2025-03-22T20:04:44.193Z,LLM,8192,175,B
model_1742673884193_995,platform_1742531573945_655,Gemini,1,Instruct,Transformer,70B,16K,2025-03-22T20:04:44.193Z,2025-03-22T20:04:44.193Z,LLM,4096,70,B
model_1742673884193_604,platform_1742531573945_655,Gemini,1,Chat,Transformer,13B,8K,2025-03-22T20:04:44.193Z,2025-03-22T20:04:44.193Z,LLM,4096,13,B
model_1742673884193_741,platform_1742531573945_655,Gemini,1,Base,Transformer,2B,4K,2025-03-22T20:04:44.193Z,2025-03-22T20:04:44.193Z,LLM,2048,2,B
model_1742673886629_779,platform_1742531573945_588,Jurassic,2,Base,Transformer,178B,8192,2025-03-22T20:04:46.629Z,2025-03-22T20:04:46.629Z,LLM,8192,178,B
model_1742673888636_540,platform_1742531573946_420,AISEO,1,,,,,2025-03-22T20:04:48.636Z,2025-03-22T20:38:47.554Z,AI Model,,,
model_1742673891010_137,platform_1742531573947_18,AIVA,1,,,,,2025-03-22T20:04:51.010Z,2025-03-22T20:38:49.405Z,AI Model,,,
model_1742673892826_538,platform_1742531573948_437,AI Writer,1,,,,,2025-03-22T20:04:52.826Z,2025-03-22T20:38:53.510Z,AI Model,,,
model_1742673894204_937,platform_1742531573948_494,Akana API Platform,1,,,,,2025-03-22T20:04:54.204Z,2025-03-22T20:38:55.700Z,AI Model,,,
model_1742673897750_583,platform_1742531573949_780,Aleph Alpha,1,,Transformer,13B,8K,2025-03-22T20:04:57.750Z,2025-03-22T20:38:57.520Z,LLM,,13,B
model_1742673897750_289,platform_1742531573949_780,Aleph Alpha,1,Luminous-Base,Transformer,30B,8K,2025-03-22T20:04:57.750Z,2025-03-22T20:38:59.630Z,LLM,,30,B
model_1742673897750_98,platform_1742531573949_780,Aleph Alpha,1,Luminous-Extended,Transformer,70B,16K,2025-03-22T20:04:57.750Z,2025-03-22T20:39:01.499Z,LLM,,70,B
model_1742673899565_946,platform_1742531573949_897,Algorithmia,1,,,,,2025-03-22T20:04:59.565Z,2025-03-22T20:39:03.787Z,AI Model,,,
model_1742673902557_677,platform_1742531573950_111,Alibaba Cloud AI,1,,Transformer,10B,8K,2025-03-22T20:05:02.557Z,2025-03-22T20:05:02.557Z,LLM,8192,10,B
model_1742673902557_696,platform_1742531573950_111,Alibaba Cloud AI,1,Vision,Convolutional Neural Network,2B,,2025-03-22T20:05:02.557Z,2025-03-22T20:39:06.999Z,Image Generation,,2,B
model_1742673902557_530,platform_1742531573950_111,Alibaba Cloud AI,1,Embedding,Transformer,5B,4K,2025-03-22T20:05:02.557Z,2025-03-22T20:05:02.557Z,Embedding,4096,5,B
model_1742673904302_72,platform_1742531573951_781,Anaconda,1,,,,,2025-03-22T20:05:04.302Z,2025-03-22T20:39:10.093Z,AI Model,,,
model_1742673912756_800,platform_1742531573951_167,Claude,1,,Transformer,52B,100K,2025-03-22T20:05:12.756Z,2025-03-22T20:39:12.000Z,LLM,,52,B
model_1742673912756_365,platform_1742531573951_167,Claude,2,,Transformer,70B,100K,2025-03-22T20:05:12.756Z,2025-03-22T20:39:13.867Z,LLM,,70,B
model_1742673912756_993,platform_1742531573951_167,Claude,2,Instruct,Transformer,70B,100K,2025-03-22T20:05:12.756Z,2025-03-22T20:39:16.022Z,LLM,,70,B
model_1742673912756_635,platform_1742531573951_167,Claude,3,,Transformer,100B,100K,2025-03-22T20:05:12.756Z,2025-03-22T20:39:17.958Z,LLM,,100,B
model_1742673912756_562,platform_1742531573951_167,Claude,3,Instruct,Transformer,100B,100K,2025-03-22T20:05:12.756Z,2025-03-22T20:39:20.132Z,LLM,,100,B
model_1742673914760_56,platform_1742531573952_788,Anyword,1,,Transformer,,,2025-03-22T20:05:14.760Z,2025-03-22T20:39:22.193Z,AI Model,,,
model_1742673916161_677,platform_1742531573952_252,AWS API Gateway,1,,,,,2025-03-22T20:05:16.161Z,2025-03-22T20:39:25.441Z,AI Model,,,
model_1742673917930_728,platform_1742531573952_906,Amazon Web Services (AWS) AI,1,,,,,2025-03-22T20:05:17.930Z,2025-03-22T20:39:27.432Z,AI Model,,,
model_1742673920430_158,platform_1742531573952_378,Amazon SageMaker,1,,,,,2025-03-22T20:05:20.430Z,2025-03-22T20:39:30.754Z,AI Model,,,
model_1742673923272_472,platform_1742531573953_379,Bearly AI,1,,Transformer,1B,8K,2025-03-22T20:05:23.272Z,2025-03-22T20:05:23.272Z,LLM,4096,1,B
model_1742673925383_47,platform_1742531573954_716,Text Blaze,1,,,,,2025-03-22T20:05:25.383Z,2025-03-22T20:39:33.656Z,AI Model,,,
model_1742673927325_875,platform_1742531573954_537,Blue Prism,1,,,,,2025-03-22T20:05:27.325Z,2025-03-22T20:39:35.677Z,AI Model,,,
model_1742673928821_408,platform_1742531573955_960,Boomi API Management,1,,,,,2025-03-22T20:05:28.821Z,2025-03-22T20:39:37.721Z,AI Model,,,
model_1742673931015_924,platform_1742531573956_497,Botpress,1,,Transformer,,,2025-03-22T20:05:31.015Z,2025-03-22T20:39:39.553Z,AI Model,,,
model_1742673933316_403,platform_1742531573956_370,Buffer’s AI Assistant,1,,Transformer,,,2025-03-22T20:05:33.316Z,2025-03-22T20:39:41.483Z,LLM,,,
model_1742673935527_543,platform_1742531573957_695,C3 AI,1,,,,,2025-03-22T20:05:35.527Z,2025-03-22T20:39:43.371Z,AI Model,,,
model_1742673937434_667,platform_1742531573957_680,Caffe2,1,,,,,2025-03-22T20:05:37.434Z,2025-03-22T20:39:45.178Z,AI Model,,,
model_1742673942643_741,platform_1742531573958_547,Cerebras,1,,Transformer,111M,8K,2025-03-22T20:05:42.643Z,2025-03-22T20:05:42.643Z,LLM,8192,111,M
model_1742673942643_235,platform_1742531573958_547,Cerebras,1.1,,Transformer,1.3B,8K,2025-03-22T20:05:42.643Z,2025-03-22T20:05:42.643Z,LLM,8192,1.3,B
model_1742673942643_194,platform_1742531573958_547,Cerebras,1.2,,Transformer,2.7B,8K,2025-03-22T20:05:42.643Z,2025-03-22T20:05:42.643Z,LLM,8192,2.7,B
model_1742673942643_459,platform_1742531573958_547,Cerebras,2,,Transformer,6.7B,8K,2025-03-22T20:05:42.643Z,2025-03-22T20:05:42.643Z,LLM,8192,6.7,B
model_1742673942643_785,platform_1742531573958_547,Cerebras,2.1,,Transformer,13B,8K,2025-03-22T20:05:42.643Z,2025-03-22T20:05:42.643Z,LLM,8192,13,B
model_1742673944662_462,platform_1742531573959_700,Chainer,1,,,,,2025-03-22T20:05:44.662Z,2025-03-22T20:39:52.402Z,AI Model,,,
model_1742673946800_181,platform_1742531573959_355,Character.ai,1,,Transformer,,,2025-03-22T20:05:46.800Z,2025-03-22T20:39:54.500Z,LLM,,,
model_1742673948748_128,platform_1742531573960_973,Chatbot.com,1,,,,,2025-03-22T20:05:48.748Z,2025-03-22T20:39:56.405Z,AI Model,,,
model_1742673951371_934,platform_1742531573961_708,Claude,1,,Transformer,,,2025-03-22T20:05:51.371Z,2025-03-22T20:39:58.315Z,LLM,,,
model_1742673951372_221,platform_1742531573961_708,Claude,2,,Transformer,,,2025-03-22T20:05:51.372Z,2025-03-22T20:40:01.597Z,LLM,,,
model_1742673953653_468,platform_1742531573961_759,Cleverbot,1,,,,,2025-03-22T20:05:53.653Z,2025-03-22T20:40:04.279Z,AI Model,,,
model_1742673955788_519,platform_1742531573962_139,ClosersCopy,1,,,,,2025-03-22T20:05:55.788Z,2025-03-22T20:40:06.382Z,AI Model,,,
model_1742673961276_21,platform_1742531573963_102,Cohere,1,,Transformer,13B,2K,2025-03-22T20:06:01.276Z,2025-03-22T20:06:01.276Z,LLM,2048,13,B
model_1742673961276_486,platform_1742531573963_102,Cohere,1,Embed,Transformer,6B,,2025-03-22T20:06:01.276Z,2025-03-22T20:40:09.412Z,Embedding,,6,B
model_1742673961276_351,platform_1742531573963_102,Cohere,1,Generate,Transformer,20B,4K,2025-03-22T20:06:01.276Z,2025-03-22T20:06:01.276Z,LLM,4096,20,B
model_1742673964304_792,platform_1742531573963_279,ContentBot,1,,Transformer,7B,8K,2025-03-22T20:06:04.304Z,2025-03-22T20:06:04.304Z,LLM,4096,7,B
model_1742673967875_904,platform_1742531573964_689,Copyleaks,1,,,,,2025-03-22T20:06:07.875Z,2025-03-22T20:40:13.478Z,AI Model,,,
model_1742673969996_327,platform_1742531573965_537,CopyMonkey,1,,Transformer,,,2025-03-22T20:06:09.996Z,2025-03-22T20:40:15.269Z,AI Model,,,
model_1742673972280_525,platform_1742531573965_271,CopySmith,1,,Transformer,,,2025-03-22T20:06:12.280Z,2025-03-22T20:40:17.124Z,LLM,,,
model_1742673976911_832,platform_1742531573966_66,Databricks,1,,Transformer,7B,8K,2025-03-22T20:06:16.911Z,2025-03-22T20:06:16.911Z,LLM,4096,7,B
model_1742673976911_707,platform_1742531573966_66,Databricks,2,Instruct,Transformer,13B,16K,2025-03-22T20:06:16.911Z,2025-03-22T20:06:16.911Z,LLM,8192,13,B
model_1742673976911_779,platform_1742531573966_66,Databricks,3,Chat,Transformer,70B,32K,2025-03-22T20:06:16.911Z,2025-03-22T20:06:16.911Z,LLM,10000,70,B
model_1742673976911_392,platform_1742531573966_66,Databricks,1,Base,Transformer,3B,4K,2025-03-22T20:06:16.911Z,2025-03-22T20:06:16.911Z,Embedding,2048,3,B
model_1742673976911_3,platform_1742531573966_66,Databricks,1,Vision,Transformer,2B,,2025-03-22T20:06:16.911Z,2025-03-22T20:40:23.500Z,Image Generation,,2,B
model_1742673978717_69,platform_1742531573967_169,Dataiku,1,,,,,2025-03-22T20:06:18.717Z,2025-03-22T20:40:25.271Z,AI Model,,,
model_1742673980593_916,platform_1742531573967_52,DataRobot,1,,,,,2025-03-22T20:06:20.593Z,2025-03-22T20:40:27.266Z,AI Model,,,
model_1742673982565_830,platform_1742531573968_32,DeepBrain AI,1,,Transformer,Unknown,Unknown,2025-03-22T20:06:22.565Z,2025-03-22T20:40:29.295Z,AI Model,,,
model_1742673984496_421,platform_1742531573968_651,DeepDetect,1,,Unknown,,,2025-03-22T20:06:24.496Z,2025-03-22T20:40:31.156Z,AI Model,,,
model_1742673986603_135,platform_1742531573969_254,DeepL Write,1,,Transformer,,,2025-03-22T20:06:26.603Z,2025-03-22T20:40:33.237Z,AI Model,,,
model_1742673988583_291,platform_1742531573969_471,DL4J,1,,,,,2025-03-22T20:06:28.583Z,2025-03-22T20:40:35.598Z,AI Model,,,
model_1742673992691_854,platform_1742531573970_892,AlphaGo,1,Zero,Deep Reinforcement Learning,,,2025-03-22T20:06:32.691Z,2025-03-22T20:40:37.596Z,Game Playing AI,,,
model_1742673992691_68,platform_1742531573970_892,AlphaZero,1,,Deep Reinforcement Learning,,,2025-03-22T20:06:32.691Z,2025-03-22T20:40:39.512Z,Game Playing AI,,,
model_1742673992691_426,platform_1742531573970_892,AlphaFold,2,,Transformer,,,2025-03-22T20:06:32.691Z,2025-03-22T20:40:41.425Z,Protein Structure Prediction,,,
model_1742673992691_234,platform_1742531573970_892,MuZero,1,,Deep Reinforcement Learning,,,2025-03-22T20:06:32.691Z,2025-03-22T20:40:43.385Z,Game Playing AI,,,
model_1742673992691_597,platform_1742531573970_892,Gato,1,,Transformer,1.18B,,2025-03-22T20:06:32.691Z,2025-03-22T20:40:45.393Z,Generalist AI,,1.18,B
model_1742673994984_743,platform_1742531573970_632,DeepPavlov,1,,Transformer,,,2025-03-22T20:06:34.984Z,2025-03-22T20:40:47.263Z,AI Model,,,
model_1742673999035_1,platform_1742531573971_362,DeepSeek,1,,Transformer,10B,8K,2025-03-22T20:06:39.035Z,2025-03-22T20:06:39.035Z,LLM,8192,10,B
model_1742673999035_307,platform_1742531573971_362,DeepSeek,1,Instruct,Transformer,10B,8K,2025-03-22T20:06:39.035Z,2025-03-22T20:06:39.035Z,LLM,8192,10,B
model_1742673999035_828,platform_1742531573971_362,DeepSeek,1,Chat,Transformer,10B,8K,2025-03-22T20:06:39.035Z,2025-03-22T20:06:39.035Z,LLM,8192,10,B
model_1742673999035_611,platform_1742531573971_362,DeepSeek,1,Vision,Transformer,10B,8K,2025-03-22T20:06:39.035Z,2025-03-22T20:06:39.035Z,Image Generation,8192,10,B
model_1742673999035_219,platform_1742531573971_362,DeepSeek,1,Base,Transformer,10B,8K,2025-03-22T20:06:39.035Z,2025-03-22T20:06:39.035Z,LLM,8192,10,B
model_1742674001306_845,platform_1742531573971_843,Descript,1,,,,,2025-03-22T20:06:41.306Z,2025-03-22T20:40:54.200Z,AI Model,,,
model_1742674004735_265,platform_1742531573972_382,Dola AI,1,,Transformer,10B,8K,2025-03-22T20:06:44.735Z,2025-03-22T20:06:44.735Z,LLM,4096,10,B
model_1742674004735_400,platform_1742531573972_382,Dola AI,1.1,Instruct,Transformer,12B,16K,2025-03-22T20:06:44.735Z,2025-03-22T20:06:44.735Z,LLM,8192,12,B
model_1742674004735_840,platform_1742531573972_382,Dola AI,2,Chat,Transformer,15B,32K,2025-03-22T20:06:44.735Z,2025-03-22T20:06:44.735Z,LLM,16384,15,B
model_1742674007147_568,platform_1742531573972_172,DreamFactory,1,,,,,2025-03-22T20:06:47.147Z,2025-03-22T20:41:00.095Z,AI Model,,,
model_1742674009099_543,platform_1742531573973_2,Elai.io,1,,,,,2025-03-22T20:06:49.099Z,2025-03-22T20:41:02.138Z,AI Model,,,
model_1742674011768_572,platform_1742531573973_232,Exsys CORVID,1,,,,,2025-03-22T20:06:51.768Z,2025-03-22T20:41:04.082Z,AI Model,,,
model_1742674016338_387,platform_1742531573974_618,Fast.ai,1,,Neural Network,,,2025-03-22T20:06:56.338Z,2025-03-22T20:41:06.154Z,AI Model,,,
model_1742674016338_808,platform_1742531573974_618,Fast.ai,2,Tabular,Neural Network,,,2025-03-22T20:06:56.338Z,2025-03-22T20:41:08.081Z,AI Model,,,
model_1742674016338_799,platform_1742531573974_618,Fast.ai,2,Text,Transformer,,,2025-03-22T20:06:56.338Z,2025-03-22T20:41:09.981Z,AI Model,,,
model_1742674016338_42,platform_1742531573974_618,Fast.ai,2,Vision,Convolutional Neural Network,,,2025-03-22T20:06:56.338Z,2025-03-22T20:41:11.970Z,AI Model,,,
model_1742674016338_932,platform_1742531573974_618,Fast.ai,2,Collaborative Filtering,Matrix Factorization,,,2025-03-22T20:06:56.338Z,2025-03-22T20:41:13.776Z,AI Model,,,
model_1742674018229_613,platform_1742531573975_939,Flowrite,1,,Transformer,,,2025-03-22T20:06:58.229Z,2025-03-22T20:41:15.838Z,AI Model,,,
model_1742674020171_46,platform_1742531573975_879,Frase,1,,Transformer,,,2025-03-22T20:07:00.171Z,2025-03-22T20:41:17.862Z,LLM,,,
model_1742674021990_827,platform_1742531573976_867,Fusio,1,,,,,2025-03-22T20:07:01.990Z,2025-03-22T20:41:20.076Z,AI Model,,,
model_1742674024543_767,platform_1742531573976_579,GPT,3,,Transformer,175B,4K,2025-03-22T20:07:04.543Z,2025-03-22T20:07:04.543Z,LLM,4096,175,B
model_1742674029698_183,platform_1742531573977_937,Gluon,1,,Transformer,110M,512,2025-03-22T20:07:09.698Z,2025-03-22T20:07:09.698Z,LLM,512,0.11,B
model_1742674029698_968,platform_1742531573977_937,Gluon,1.1,Enhanced,Transformer,345M,1024,2025-03-22T20:07:09.698Z,2025-03-22T20:07:09.698Z,LLM,1024,0.345,B
model_1742674029698_70,platform_1742531573977_937,Gluon,2,Base,Transformer,1B,2048,2025-03-22T20:07:09.698Z,2025-03-22T20:07:09.698Z,LLM,2048,1,B
model_1742674029698_645,platform_1742531573977_937,Gluon,2,Instruct,Transformer,1B,2048,2025-03-22T20:07:09.698Z,2025-03-22T20:07:09.698Z,LLM,2048,1,B
model_1742674029698_186,platform_1742531573977_937,Gluon,3,Advanced,Transformer,2B,4096,2025-03-22T20:07:09.698Z,2025-03-22T20:07:09.698Z,LLM,4096,2,B
model_1742674031631_419,platform_1742531573978_112,Graphcore,1,,Transformer,,,2025-03-22T20:07:11.631Z,2025-03-22T20:41:28.148Z,AI Model,,,
model_1742674033655_476,platform_1742531573979_282,Gravitee.io,1,,,,,2025-03-22T20:07:13.655Z,2025-03-22T20:41:30.176Z,AI Model,,,
model_1742674035714_354,platform_1742531573979_865,GrowthBar,1,,,,,2025-03-22T20:07:15.714Z,2025-03-22T20:41:32.184Z,AI Model,,,
model_1742674037938_270,platform_1742531573980_887,H2O AI Cloud,1,,,,,2025-03-22T20:07:17.938Z,2025-03-22T20:41:34.020Z,AI Model,,,
model_1742674039885_113,platform_1742531573980_787,Helicone,1,,,,,2025-03-22T20:07:19.885Z,2025-03-22T20:41:36.047Z,AI Model,,,
model_1742674041911_920,platform_1742531573981_145,Hemingway,1,,,,,2025-03-22T20:07:21.911Z,2025-03-22T20:41:37.862Z,AI Model,,,
model_1742674043963_534,platform_1742531573981_880,HubSpot Content Assistant,1,,Transformer,,,2025-03-22T20:07:23.963Z,2025-03-22T20:41:39.880Z,LLM,,,
model_1742674055250_169,platform_1742531573982_665,BERT,Base,Uncased,Transformer,110M,,2025-03-22T20:07:35.250Z,2025-03-22T20:41:41.880Z,LLM,512,110,M
model_1742674055250_460,platform_1742531573982_665,GPT,2,Small,Transformer,117M,1024 tokens,2025-03-22T20:07:35.250Z,2025-03-22T20:41:44.052Z,LLM,1024,117,M
model_1742674055250_77,platform_1742531573982_665,RoBERTa,Base,Base,Transformer,125M,,2025-03-22T20:07:35.250Z,2025-03-22T20:41:45.991Z,LLM,512,125,M
model_1742674055250_408,platform_1742531573982_665,T5,Base,Base,Transformer,220M,,2025-03-22T20:07:35.250Z,2025-03-22T20:41:48.255Z,LLM,512,220,M
model_1742674055250_669,platform_1742531573982_665,DistilBERT,,Uncased,Transformer,66M,,2025-03-22T20:07:35.250Z,2025-03-22T20:41:50.265Z,LLM,512,66,M
model_1742674057613_166,platform_1742531573982_45,HyperWrite,1,,Transformer,,,2025-03-22T20:07:37.613Z,2025-03-22T20:41:52.169Z,LLM,,,
model_1742674060442_484,platform_1742531573983_651,Hypotenuse AI,1,,,,,2025-03-22T20:07:40.442Z,2025-03-22T20:41:53.976Z,AI Model,,,
model_1742674062857_48,platform_1742531573984_639,IBM Watson Studio,1,,,,,2025-03-22T20:07:42.857Z,2025-03-22T20:41:56.487Z,AI Model,,,
model_1742674066325_744,platform_1742531573984_107,IBM Watsonx,1,,Transformer,1B,8K,2025-03-22T20:07:46.325Z,2025-03-22T20:07:46.325Z,LLM,8192,1,B
model_1742674066325_795,platform_1742531573984_107,IBM Watsonx,1,Instruct,Transformer,7B,32K,2025-03-22T20:07:46.325Z,2025-03-22T20:07:46.325Z,LLM,32768,7,B
model_1742674066325_169,platform_1742531573984_107,IBM Watsonx,1,Chat,Transformer,13B,100K,2025-03-22T20:07:46.325Z,2025-03-22T20:07:46.325Z,LLM,102400,13,B
model_1742674068349_644,platform_1742531573984_533,Infosys Nia,1,,Transformer,,,2025-03-22T20:07:48.349Z,2025-03-22T20:42:02.899Z,AI Model,,,
model_1742674070351_436,platform_1742531573985_557,INK Editor,1,,,,,2025-03-22T20:07:50.351Z,2025-03-22T20:42:06.852Z,AI Model,,,
model_1742674072539_560,platform_1742531573985_828,Jarvis (Conversion AI),1,,Transformer,,,2025-03-22T20:07:52.539Z,2025-03-22T20:42:08.779Z,LLM,,,
model_1742674075004_754,platform_1742531573986_145,Jenni AI,1,,Transformer,350M,8K,2025-03-22T20:07:55.004Z,2025-03-22T20:07:55.004Z,LLM,8192,350,M
model_1742674076875_710,platform_1742531573986_954,Keras,1,,,,,2025-03-22T20:07:56.875Z,2025-03-22T20:42:12.172Z,AI Model,,,
model_1742674079068_755,platform_1742531573987_959,Kite,1,,,,,2025-03-22T20:07:59.068Z,2025-03-22T20:42:14.161Z,AI Model,,,
model_1742674081092_932,platform_1742531573987_645,Kong Enterprise,1,,,,,2025-03-22T20:08:01.092Z,2025-03-22T20:42:16.183Z,AI Model,,,
model_1742674083200_911,platform_1742531573988_361,Kore.ai,1,,Transformer,,,2025-03-22T20:08:03.200Z,2025-03-22T20:42:18.786Z,AI Model,,,
model_1742674085125_273,platform_1742531573989_12,KrakenD,1,,,,,2025-03-22T20:08:05.125Z,2025-03-22T20:42:20.735Z,AI Model,,,
